Title,Year,Topics,Authors,URL,GSC,Citations,Notes
Outside the Closed World: On Using Machine Learning For Network Intrusion Detection,2010,"Machine Learning, Experimentation","Robin Sommer (International Computer Science Institute / Lawrence Berkeley National Laboratory), Vern Paxson (International Computer Science Institute / University of California, Berkeley)",sommer2010.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9NZw0bUAAAAJ&citation_for_view=9NZw0bUAAAAJ:zYLM7Y9cAGgC,451,
All You Ever Wanted to Know about Dynamic Taint Analysis and Forward Symbolic Execution (but might have been afraid to ask),2010,Dynamic Analysis,"Thanassis Avgerinos, Edward Schwartz, David Brumley (Carnegie Mellon University)",schwartz2010.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-WBavtMAAAAJ&citation_for_view=-WBavtMAAAAJ:u5HHmVD_uO8C,395,
State of the Art: Automated Black-Box Web Application Vulnerability Testing,2010,"Web Security, Experimentation","Jason Bau, Elie Bursztein, Divij Gupta, John Mitchell (Stanford University)",bau2010.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ayw4GsAAAAAJ&citation_for_view=Ayw4GsAAAAAJ:2osOgNQ5qMEC,210,
How Good are Humans at Solving CAPTCHAs? A Large Scale Evaluation,2010,Usable Security,"Elie Bursztein, Steven Bethard, John C. Mitchell, Dan Jurafsky (Stanford University), Céline Fabry",burzstein2010.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ayw4GsAAAAAJ&citation_for_view=Ayw4GsAAAAAJ:qjMakFHDy7sC,186,
Bootstrapping Trust in Commodity Computers,2010,Trusted Hardware,"Bryan Parno, Jonathan M. McCune, Adrian Perrig (Carnegie Mellon University)",parno2010.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kTTBpJkAAAAJ&citation_for_view=kTTBpJkAAAAJ:Y0pCki6q_DkC,120,[expanded into book: https://www.amazon.com/Bootstrapping-Computers-SpringerBriefs-Computer-Science-ebook/dp/B009YU221W/ref=sr_1_1?s=books&ie=UTF8&qid=1488970042&sr=1-1&keywords=9781461414605]
,,,,,,,
Formalizing Anonymous Blacklisting Systems,2011,"Anonymity, Formalizing","Ryan Henry, Ian Goldberg (University of Waterloo)",henry2011.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kj6ctNwAAAAJ&citation_for_view=kj6ctNwAAAAJ:d1gkVwhDpl0C,32,
Mobile Security Catching Up? - Revealing the nuts and bolts of the security of mobile devices,2011,Mobile Security,"Michael Becher (University of Mannheim), Felix C. Freiling (University of Mannheim), Johannes Hoffmann (Ruhr-University Bochum), Thorsten Holz (Ruhr-University Bochum), Sebastian Uellenbeck (Ruhr-University Bochum), Christopher Wolf (Ruhr-University Bochum)",becher2011.pdf,"https://scholar.google.com/scholar?cites=10291655926701649260&as_sdt=5,39&sciodt=0,39&hl=en",189,
A Formal Foundation for the Security Features of Physical Functions,2011,"Hardware, Formalizing","Frederik Armknecht (University of Mannheim), Roel Maes (Katholieke Universiteit Leuven), Ahmad-Reza Sadeghi (TU Darmstadt, Fraunhofer SIT Darmstadt), Francois-Xavier Standaert (Université Catholique de Louvain), Christian Wachsmann (TU Darmstadt)",armknecht2011.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W5FetOsAAAAJ&citation_for_view=W5FetOsAAAAJ:qjMakFHDy7sC,120,
Timing- and Termination-Sensitive Secure Information Flow: Exploring a New Approach,2011,Formal Methods,"Vineeth Kashyap (UC Santa Barbara), Ben Wiedermann (Virginia Tech), Ben Hardekopf (UC Santa Barbara)",kashyap2011.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=edDtEwMAAAAJ&citation_for_view=edDtEwMAAAAJ:u5HHmVD_uO8C,62,
